PatientID,Species,Age_years,Analyte,Unit,IDEXX,MS200V,AbsoluteDiff,PercentBias
P025,Feline,,UREA,mmol/L (BUN-eq),9.3,9.17,-0.1300000000000007,-1.3978494623655997
P026,Feline,2.0,UREA,mmol/L (BUN-eq),22.5,20.07,-2.43,-10.8
P027,Feline,6.0,UREA,mmol/L (BUN-eq),6.8,6.53,-0.2699999999999996,-3.970588235294111
P028,Feline,7.0,UREA,mmol/L (BUN-eq),7.1,6.59,-0.5099999999999998,-7.183098591549293
P029,Feline,7.0,UREA,mmol/L (BUN-eq),11.1,8.21,-2.889999999999999,-26.036036036036027
P030,Feline,7.0,UREA,mmol/L (BUN-eq),46.3,35.7,-10.599999999999994,-22.894168466522668
P031,Feline,7.0,UREA,mmol/L (BUN-eq),9.6,8.67,-0.9299999999999996,-9.687499999999998
P032,Feline,6.0,UREA,mmol/L (BUN-eq),7.5,7.36,-0.1399999999999996,-1.8666666666666625
P033,Feline,,UREA,mmol/L (BUN-eq),7.5,7.09,-0.4100000000000001,-5.466666666666669
P034,Feline,,UREA,mmol/L (BUN-eq),10.3,10.13,-0.1699999999999999,-1.650485436893203
P035,Feline,2.0,UREA,mmol/L (BUN-eq),7.1,7.17,0.0700000000000002,0.9859154929577504
P036,Feline,,UREA,mmol/L (BUN-eq),9.6,7.31,-2.29,-23.854166666666668
P037,Feline,,UREA,mmol/L (BUN-eq),10.0,8.39,-1.6099999999999994,-16.099999999999994
P038,Feline,,UREA,mmol/L (BUN-eq),9.6,9.13,-0.4699999999999988,-4.8958333333333215
P039,Feline,,UREA,mmol/L (BUN-eq),6.1,6.65,0.5500000000000007,9.016393442622965
P040,Feline,7.0,UREA,mmol/L (BUN-eq),6.8,7.24,0.4400000000000004,6.470588235294124
P041,Feline,3.0,UREA,mmol/L (BUN-eq),7.1,6.57,-0.5299999999999994,-7.464788732394358
P042,Feline,2.0,UREA,mmol/L (BUN-eq),7.5,9.72,2.2200000000000006,29.60000000000001
P043,Feline,,UREA,mmol/L (BUN-eq),6.1,6.44,0.3400000000000007,5.573770491803291
P044,Feline,5.0,UREA,mmol/L (BUN-eq),10.0,5.62,-4.38,-43.8
P045,Feline,2.0,UREA,mmol/L (BUN-eq),6.8,6.81,0.0099999999999997,0.1470588235294086
P046,Feline,,UREA,mmol/L (BUN-eq),5.3,5.7,0.4000000000000003,7.547169811320761
P047,Feline,2.0,UREA,mmol/L (BUN-eq),6.1,6.19,0.0900000000000007,1.475409836065586
P048,Feline,,UREA,mmol/L (BUN-eq),7.8,7.01,-0.79,-10.128205128205128
P049,Feline,2.0,UREA,mmol/L (BUN-eq),4.6,4.55,-0.0499999999999998,-1.0869565217391266
P050,Feline,2.0,UREA,mmol/L (BUN-eq),7.1,6.04,-1.0599999999999996,-14.929577464788728
P051,Feline,,UREA,mmol/L (BUN-eq),6.4,6.22,-0.1800000000000006,-2.8125000000000093
P052,Feline,,UREA,mmol/L (BUN-eq),7.5,7.0,-0.5,-6.666666666666667
P053,Feline,,UREA,mmol/L (BUN-eq),8.2,7.92,-0.2799999999999993,-3.414634146341456
P054,Feline,,UREA,mmol/L (BUN-eq),10.0,9.43,-0.5700000000000003,-5.700000000000003
P061,Canine,9.0,UREA,mmol/L (BUN-eq),11.8,11.81,0.0099999999999997,0.0847457627118626
P062,Canine,2.0,UREA,mmol/L (BUN-eq),4.6,4.96,0.3600000000000003,7.826086956521746
P063,Canine,10.0,UREA,mmol/L (BUN-eq),6.8,6.79,-0.0099999999999997,-0.1470588235294086
P064,Canine,6.0,UREA,mmol/L (BUN-eq),6.8,6.84,0.04,0.5882352941176475
P065,Canine,0.8,UREA,mmol/L (BUN-eq),8.2,8.95,0.75,9.146341463414636
P066,Canine,12.0,UREA,mmol/L (BUN-eq),3.9,3.88,-0.02,-0.5128205128205132
P067,Canine,2.0,UREA,mmol/L (BUN-eq),5.0,4.86,-0.1399999999999996,-2.7999999999999936
P068,Canine,2.0,UREA,mmol/L (BUN-eq),4.6,4.9,0.3000000000000007,6.521739130434799
P069,Canine,9.0,UREA,mmol/L (BUN-eq),6.8,6.96,0.1600000000000001,2.35294117647059
P070,Canine,3.0,UREA,mmol/L (BUN-eq),7.5,7.8,0.2999999999999998,3.999999999999997
P071,Canine,12.0,UREA,mmol/L (BUN-eq),10.3,10.58,0.2799999999999993,2.718446601941741
P072,Canine,6.0,UREA,mmol/L (BUN-eq),2.9,3.65,0.75,25.86206896551724
P073,Canine,10.0,UREA,mmol/L (BUN-eq),5.0,4.63,-0.3700000000000001,-7.400000000000002
P074,Canine,11.0,UREA,mmol/L (BUN-eq),18.9,19.07,0.1700000000000017,0.8994708994709085
P075,Canine,0.7,UREA,mmol/L (BUN-eq),4.3,4.27,-0.0300000000000002,-0.697674418604657
P076,Canine,,UREA,mmol/L (BUN-eq),27.5,26.36,-1.1400000000000006,-4.145454545454547
P077,Canine,,UREA,mmol/L (BUN-eq),11.8,11.57,-0.2300000000000004,-1.949152542372885
P078,Canine,5.0,UREA,mmol/L (BUN-eq),8.6,7.94,-0.6599999999999993,-7.674418604651155
P079,Canine,2.0,UREA,mmol/L (BUN-eq),6.8,6.26,-0.54,-7.941176470588236
P135,Canine,11.0,UREA,mmol/L (BUN-eq),15.7,15.66,-0.0399999999999991,-0.2547770700636888
P081,Canine,6.0,UREA,mmol/L (BUN-eq),4.6,4.69,0.0900000000000007,1.9565217391304512
P082,Canine,16.0,UREA,mmol/L (BUN-eq),13.5,13.93,0.4299999999999997,3.185185185185184
P083,Canine,2.0,UREA,mmol/L (BUN-eq),8.9,7.04,-1.8600000000000003,-20.898876404494384
P084,Canine,2.0,UREA,mmol/L (BUN-eq),8.6,6.81,-1.79,-20.813953488372093
P085,Canine,12.0,UREA,mmol/L (BUN-eq),24.2,23.54,-0.6600000000000001,-2.727272727272728
P086,Canine,6.0,UREA,mmol/L (BUN-eq),7.8,7.69,-0.1099999999999994,-1.410256410256403
P087,Canine,7.0,UREA,mmol/L (BUN-eq),4.6,4.05,-0.5499999999999998,-11.956521739130432
P088,Canine,10.0,UREA,mmol/L (BUN-eq),7.5,5.1,-2.4000000000000004,-32.00000000000001
P089,Canine,6.0,UREA,mmol/L (BUN-eq),8.9,7.69,-1.21,-13.595505617977526
P090,Canine,8.0,UREA,mmol/L (BUN-eq),5.7,4.92,-0.7800000000000002,-13.684210526315791
P091,Canine,2.0,UREA,mmol/L (BUN-eq),9.6,9.17,-0.4299999999999997,-4.479166666666664
P092,Canine,15.0,UREA,mmol/L (BUN-eq),38.9,31.71,-7.189999999999998,-18.48329048843188
P093,Canine,4.0,UREA,mmol/L (BUN-eq),6.8,6.5,-0.2999999999999998,-4.411764705882351
P094,Canine,15.0,UREA,mmol/L (BUN-eq),31.7,26.02,-5.68,-17.917981072555207
P095,Canine,,UREA,mmol/L (BUN-eq),8.2,7.82,-0.379999999999999,-4.634146341463403
P096,Canine,,UREA,mmol/L (BUN-eq),12.8,14.63,1.83,14.296875
P097,Canine,,UREA,mmol/L (BUN-eq),34.9,31.32,-3.5799999999999983,-10.257879656160457
P098,Canine,12.0,UREA,mmol/L (BUN-eq),10.7,9.03,-1.67,-15.60747663551402
P099,Canine,,UREA,mmol/L (BUN-eq),5.3,4.47,-0.8300000000000001,-15.660377358490567
P100,Canine,9.0,UREA,mmol/L (BUN-eq),8.6,8.45,-0.1500000000000003,-1.744186046511632
P101,Canine,5.0,UREA,mmol/L (BUN-eq),3.9,3.85,-0.0499999999999998,-1.2820512820512775
P102,Canine,15.0,UREA,mmol/L (BUN-eq),42.1,35.7,-6.399999999999999,-15.201900237529689
P103,Canine,,UREA,mmol/L (BUN-eq),23.5,24.07,0.5700000000000003,2.4255319148936185
P114,Feline,13.0,UREA,mmol/L (BUN-eq),9.282,10.106102803738317,0.8241028037383167,8.878504672897185
P115,Canine,9.0,UREA,mmol/L (BUN-eq),1.071,1.042640186915888,-0.028359813084112,-2.647975077881612
P136,Feline,5.0,UREA,mmol/L (BUN-eq),9.639,10.886831775700935,1.247831775700936,12.945655936310157
P116,Canine,7.0,UREA,mmol/L (BUN-eq),3.213,2.025224299065421,-1.1877757009345795,-36.96780893042576
P121,Canine,1.0,UREA,mmol/L (BUN-eq),4.641,4.610971962616822,-0.030028037383178,-0.6470165348670126
P117,Canine,4.0,UREA,mmol/L (BUN-eq),5.712,5.073070093457944,-0.6389299065420557,-11.185747663551396
P118,Canine,2.0,UREA,mmol/L (BUN-eq),4.641,4.490859813084112,-0.1501401869158876,-3.2350826743350054
P115,Canine,9.0,UREA,mmol/L (BUN-eq),6.069,7.018219626168224,0.9492196261682242,15.640461792193513
P119,Canine,16.0,UREA,mmol/L (BUN-eq),12.138,12.862009345794393,0.724009345794391,5.9648158328751935
P120,Canine,12.0,UREA,mmol/L (BUN-eq),6.069,6.025626168224298,-0.0433738317757015,-0.7146783947223848
P121,Canine,1.0,UREA,mmol/L (BUN-eq),3.927,3.3681448598130843,-0.5588551401869157,-14.231096006796935
P122,Canine,11.0,UREA,mmol/L (BUN-eq),5.355,4.932939252336449,-0.4220607476635516,-7.881619937694707
P121,Canine,1.0,UREA,mmol/L (BUN-eq),6.783,7.088285046728972,0.3052850467289714,4.500737825873085
P123,Canine,13.0,UREA,mmol/L (BUN-eq),5.712,5.91552336448598,0.2035233644859806,3.563084112149521
P124,Feline,4.0,UREA,mmol/L (BUN-eq),8.925,9.273658878504673,0.348658878504672,3.906542056074757
P115,Canine,9.0,UREA,mmol/L (BUN-eq),3.927,4.310691588785047,0.3836915887850467,9.770603228547154
P123,Canine,13.0,UREA,mmol/L (BUN-eq),13.209,18.71747663551401,5.508476635514018,41.702450113665066
P125,Canine,6.0,UREA,mmol/L (BUN-eq),4.998,4.732752336448598,-0.2652476635514018,-5.307076101468624
P126,Canine,8.0,UREA,mmol/L (BUN-eq),3.57,3.4181915887850467,-0.1518084112149531,-4.252336448598128
P123,Canine,13.0,UREA,mmol/L (BUN-eq),3.927,2.83764953271028,-1.0893504672897198,-27.740016992353446
P121,Canine,1.0,UREA,mmol/L (BUN-eq),7.14,7.548714953271028,0.4087149532710281,5.724299065420562
P119,Canine,16.0,UREA,mmol/L (BUN-eq),13.209,15.799752336448597,2.590752336448597,19.613538772417268
P127,Feline,15.0,UREA,mmol/L (BUN-eq),8.568,8.791542056074766,0.2235420560747663,2.609034267912772
P128,Canine,15.0,UREA,mmol/L (BUN-eq),6.069,6.095691588785046,0.026691588785046,0.4398020890599122
P123,Canine,13.0,UREA,mmol/L (BUN-eq),6.069,6.355934579439252,0.2869345794392517,4.727872457394162
P119,Canine,16.0,UREA,mmol/L (BUN-eq),6.069,6.365943925233645,0.296943925233645,4.892798240791646
P126,Canine,8.0,UREA,mmol/L (BUN-eq),1.071,0.9025093457943923,-0.1684906542056075,-15.732087227414333
P116,Canine,7.0,UREA,mmol/L (BUN-eq),9.282,8.913322429906541,-0.3686775700934586,-3.9719626168224367
P125,Canine,6.0,UREA,mmol/L (BUN-eq),5.712,4.962967289719625,-0.7490327102803747,-13.11331775700936
P120,Canine,12.0,UREA,mmol/L (BUN-eq),4.998,7.148341121495326,2.150341121495326,43.0240320427236
P129,Canine,10.0,UREA,mmol/L (BUN-eq),4.284,3.598359813084112,-0.6856401869158879,-16.004672897196265
P130,Feline,10.0,UREA,mmol/L (BUN-eq),6.069,6.756308411214953,0.6873084112149535,11.32490379329302
P131,Canine,3.0,UREA,mmol/L (BUN-eq),3.927,4.400775700934579,0.4737757009345791,12.064570943075609
P117,Canine,4.0,UREA,mmol/L (BUN-eq),5.355,2.375551401869159,-2.9794485981308414,-55.638629283489095
P118,Canine,2.0,UREA,mmol/L (BUN-eq),6.069,5.815429906542056,-0.2535700934579443,-4.178119846069276
P122,Canine,11.0,UREA,mmol/L (BUN-eq),4.641,4.82283644859813,0.1818364485981298,3.918044572250159
P122,Canine,11.0,UREA,mmol/L (BUN-eq),7.14,6.868079439252336,-0.271920560747664,-3.808411214953278
P118,Canine,2.0,UREA,mmol/L (BUN-eq),4.998,4.962967289719625,-0.0350327102803751,-0.7009345794392784
P118,Canine,2.0,UREA,mmol/L (BUN-eq),6.426,6.3259065420560745,-0.1000934579439256,-1.5576323987539007
P118,Canine,2.0,UREA,mmol/L (BUN-eq),3.927,3.840252336448598,-0.0867476635514021,-2.209005947323712
P129,Canine,10.0,UREA,mmol/L (BUN-eq),3.927,4.000401869158878,0.0734018691588782,1.8691588785046664
P123,Canine,13.0,UREA,mmol/L (BUN-eq),8.925,4.540906542056074,-4.384093457943926,-49.12149532710281
P122,Canine,11.0,UREA,mmol/L (BUN-eq),7.497,3.4482196261682243,-4.048780373831775,-54.00534045393858
P132,Feline,9.0,UREA,mmol/L (BUN-eq),7.854,7.348528037383176,-0.5054719626168236,-6.435853865760423
P114,Feline,13.0,UREA,mmol/L (BUN-eq),5.355,2.285467289719626,-3.069532710280374,-57.32087227414331
P123,Canine,13.0,UREA,mmol/L (BUN-eq),6.069,4.537570093457943,-1.531429906542057,-25.233644859813094
